left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
90 270 218.7894897461 218.789488375 1.3711000121929828e-06 -109.0062103271 -109.00621118 8.52899987080491e-07 4.3747339249 4.37473394485 -1.9949999874313562e-08 0.0832401067 0.0832401130636 -6.363600008052472e-09 -0.0380503424 -0.0380503458043 3.404300001619287e-09
120 0 72.9298248291 72.9298294583 -4.6292000064340755e-06 72.6708068848 72.6708074534 -5.686000008608971e-07 1.4584400654 1.45844016471 -9.931000000129586e-08 -0.0184990410 -0.0184990428575 1.8574999975651263e-09 0.0253668968 0.0253668972029 -4.029000015559614e-10
120 30 91.1622848511 91.1622868229 -1.971800003275348e-06 54.5031051636 54.5031055901 -4.265000015379883e-07 1.8231356144 1.82313574896 -1.3456000003131408e-07 -0.0173432566 -0.0173432595537 2.9536999998636126e-09 0.0190251712 0.0190251729022 -1.7021999990096681e-09
120 60 109.3947448730 109.394744188 6.849999891755942e-07 36.3354034424 36.3354037267 -2.8430000043044856e-07 2.1878361702 2.18783622316 -5.295999994103795e-08 -0.0138748391 -0.0138748401466 1.0466000011088994e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
120 90 127.6271972656 127.627201552 -4.286399999386958e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 2.5525267124 2.5525269216 -2.0919999998980643e-07 -0.0080937371 -0.0080937381293 1.0292999993999352e-09 0.0063417242 0.00634172430072 -1.0072000004857085e-10
120 120 145.8596496582 145.859658917 -9.258799991584965e-06 0.0000000000 -0.0 0.0 2.9171929359 2.91719317833 -2.424299996306445e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
120 150 164.0921173096 164.092116281 1.028600024710613e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 3.2818202972 3.28182032777 -3.057000030892709e-08 0.0104062343 0.0104062347377 -4.3769999950871163e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
120 180 182.3245697021 182.324573646 -3.943899997693734e-06 -36.3354034424 -36.3354037267 2.8430000043044856e-07 3.6463935375 3.64639370527 -1.6777000011458654e-07 0.0231247321 0.0231247335776 -1.477600000687751e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
120 210 200.5570373535 200.55703101 6.343499990180135e-06 -54.5031051636 -54.5031055901 4.265000015379883e-07 4.0108990669 4.01089864771 4.1919000004497775e-07 0.0381551683 0.0381551710181 -2.7181000020193302e-09 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
120 240 218.7894897461 218.789488375 1.3711000121929828e-06 -72.6708068848 -72.6708074534 5.686000008608971e-07 4.3753204346 4.37532049412 -5.9520000483814783e-08 0.0554971248 0.0554971285725 -3.772499999887824e-09 -0.0253668968 -0.0253668972029 4.029000015559614e-10
