Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,VALUE,Link,bundle_number,bundle_price,Unit price
U$3,WIRELESS-BLUETOOTH-HC-05,WIRELESS-BLUETOOTH-HC-05,WIRELESS-BLUETOOTH-HC-05,Bluetooth Transceiver Module based on HC-05 board,,,,,,,"https://fr.aliexpress.com/item/HC05-HC-05-master-slave-6pin-JY-MCU-anti-reverse-integrated-Bluetooth-serial-pass-through-module/32272705461.html?spm=a2g0w.search0104.3.1.29c55fb8UfisTO&ws_ab_test=searchweb0_0,searchweb201602_5_10152_10065_10151_10344_10068_5722815_10342_10343_10340_10341_5722915_5722615_10696_10084_10083_10618_10305_10304_10307_10306_10302_5722715_5711215_10313_10059_10184_10534_100031_10103_441_10624_10623_10622_5722515_10621_10620,searchweb201603_25,ppcSwitch_3&algo_expid=d6e6d515-2c48-4eda-8fd9-2080c176e688-0&algo_pvid=d6e6d515-2c48-4eda-8fd9-2080c176e688&priceBeautifyAB=0",5,13,2.6
U$4,HOLO_MOTOR,HOLO_MOTOR,HOLO_MOTOR,,,,,,,,https://fr.aliexpress.com/item/5PCS-Well-made-GA12-N20-dc-gear-motor-with-encoder-speed-velocity-measurement-6V-500rpm-FOR/32615345501.html,5,39.3,7.86
U$5,HOLO_MOTOR,HOLO_MOTOR,HOLO_MOTOR,,,,,,,,,,,7.86
U$6,GY-85,GY-85,GY-85,,,,,,,,"https://fr.aliexpress.com/item/GY-85-BMP085-Sensor-Modules-9-Axis-Sensor-Module-ITG3205-ADXL345-HMC5883L-6DOF-9DOF-IMU-Sensor/2024503421.html?spm=a2g0w.search0104.3.1.34ec5f03SOJxrK&ws_ab_test=searchweb0_0,searchweb201602_5_10152_10065_10151_10344_10068_5722815_10342_10343_10340_10341_5722915_5722615_10696_10084_10083_10618_10305_10304_10307_10306_10302_5722715_5711215_10313_10059_10184_10534_100031_10103_441_10624_10623_10622_5722515_10621_10620,searchweb201603_25,ppcSwitch_3&algo_expid=1ffcc56d-bfd3-4017-8977-e08658ef2719-0&algo_pvid=1ffcc56d-bfd3-4017-8977-e08658ef2719&priceBeautifyAB=0",1,8.17,8.17
,,9V Battery Snap connector,,,,,,,,,https://fr.aliexpress.com/item/10pcs-9V-Battery-Snap-Connector-clip-Lead-Wires-holder/32825539506.html?spm=a2g0s.13010208.99999999.276.QBfaHk,10,0.82,0.082
,,9V rechargeable Battery,,,,,,,,,https://fr.aliexpress.com/item/1pcs-ZNTER-9V-400mAh-lithium-li-po-li-ion-rechargeable-battery-micro-usb-cable-for-charging/32805810958.html?spm=a2g0s.13010208.99999999.283.QBfaHk,2,14.14,7.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,36.9975333333
