left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
30 210 145 145.859658917 -0.8596589169999902 -109 -109.00621118 0.006211179999993988 2.8994750977 2.91648929657 -0.017014198870000108 -0.0551665276 0.0554934087091 -0.11065993630910001 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
30 240 164 164.092116281 -0.09211628099998848 -127 -127.173913043 0.17391304299999888 3.2791943550 3.28076453484 -0.0015701798399998523 -0.0726974756 0.0728319255626 -0.1455294011626 -0.0443313606 -0.0443920701051 6.070950509999562e-05
30 270 182 182.324573646 -0.3245736460000046 -145 -145.341614907 0.3416149070000074 3.6388342381 3.64492737928 -0.006093141180000039 -0.0921086371 0.0924803353924 -0.1845889724924 -0.0506145470 -0.0507337944058 0.00011924740580000065
60 0 36 36.4649147292 -0.46491472919999666 36 36.3354037267 -0.33540372670000096 0.7199857831 0.729278741054 -0.00929295795399998 0.0045238631 -0.00462494671552 0.00914880981552 0.0125663700 0.0126834486014 -0.00011707860139999887
60 30 54 54.6973720938 -0.6973720937999985 18 18.1677018634 -0.16770186340000137 1.0799945593 1.09394010926 -0.013945549960000081 0.0033929141 -0.00346874491256 0.00686165901256 0.0062831850 0.00634172430072 -5.853930071999993e-05
60 60 72 72.9298294583 -0.9298294583000057 0 -0.0 0.0 1.4399999380 1.45859658917 -0.018596651169999978 0.0000000000 0 0.0 0.0000000000 0 0.0
60 90 91 91.1622868229 -0.16228682290000052 -18 -18.1677018634 0.16770186340000137 1.8199909925 1.82323351543 -0.003242522929999936 -0.0057176887 0.00578124152093 -0.011498930220930001 -0.0062831850 -0.00634172430072 5.853930071999993e-05
60 120 109 109.394744188 -0.3947441880000042 -36 -36.3354037267 0.33540372670000096 2.1799571514 2.18783622316 -0.007879071760000134 -0.0136972535 0.0138748401466 -0.0275720936466 -0.0125663700 -0.0126834486014 0.00011707860139999887
60 150 127 127.627201552 -0.6272015520000025 -54 -54.5031055901 0.5031055900999988 2.5398871899 2.55239004855 -0.012502858650000004 -0.0239385813 0.0242805633752 -0.0482191446752 -0.0188495554 -0.0190251729022 0.00017561750219999978
60 180 145 145.859658917 -0.8596589169999902 -72 -72.6708074534 0.6708074534000019 2.8997709751 2.91688032941 -0.017109354310000047 -0.0364415124 0.036998085715 -0.073439598115 -0.0251327399 -0.0253668972029 0.00023415730290000242
60 210 164 164.092116281 -0.09211628099998848 -90 -90.8385093168 0.8385093167999997 3.2795953751 3.28129240583 -0.0016970307299999376 -0.0515199974 0.0520269886962 -0.1035469860962 -0.0314159244 -0.0317086215036 0.0002926971035999981
60 240 182 182.324573646 -0.3245736460000046 -109 -109.00621118 0.006211179999993988 3.6393411160 3.64561162071 -0.006270504709999791 -0.0692435056 0.0693667608864 -0.1386102664864 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
60 270 200 200.55703101 -0.5570310100000029 -127 -127.173913043 0.17391304299999888 3.9990174770 4.00982332037 -0.010805843369999568 -0.0886554644 0.0890167979099 -0.1776722623099 -0.0443313606 -0.0443920701051 6.070950509999562e-05
90 0 54 54.6973720938 -0.6973720937999985 54 54.5031055901 -0.5031055900999988 1.0799520016 1.09388144938 -0.013929447780000048 0.0101786088 -0.0104059557322 0.0205845645322 0.0188495554 0.0190251729022 -0.00017561750219999978
90 30 72 72.9298294583 -0.9298294583000057 36 36.3354037267 -0.33540372670000096 1.4399715662 1.45855748211 -0.018585915909999917 0.0090477262 -0.00924989343105 0.018297619631049998 0.0125663700 0.0126834486014 -0.00011707860139999887
90 60 91 91.1622868229 -0.16228682290000052 18 18.1677018634 -0.16770186340000137 1.8199909925 1.82323351543 -0.003242522929999936 0.0057176887 -0.00578124152093 0.011498930220930001 0.0062831850 0.00634172430072 -5.853930071999993e-05
90 90 109 109.394744188 -0.3947441880000042 0 -0.0 0.0 2.1800000668 2.18789488375 -0.007894816949999939 0.0000000000 0 0.0 0.0000000000 0 0.0
