left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
0 0 0 0.0 0.0 0 -0.0 0.0 0.0000000000 0.0 0.0 0.0000000000 0 0.0 0.0000000000 0 0.0
0 30 18 18.2324573646 -0.23245736459999833 -18 -18.1677018634 0.16770186340000137 0.3599976301 0.364646703086 -0.00464907298599998 0.0011309695 0.00115624830419 -2.5278804189999855e-05 -0.0062831850 -0.00634172430072 5.853930071999993e-05
0 60 36 36.4649147292 -0.46491472919999666 -36 -36.3354037267 0.33540372670000096 0.7199810147 0.729278741054 -0.009297726354000058 0.0045238333 0.00462494671552 -0.00010111341551999938 -0.0125663700 -0.0126834486014 0.00011707860139999887
0 90 54 54.6973720938 -0.6973720937999985 -54 -54.5031055901 0.5031055900999988 1.0799360275 1.09388144938 -0.01394542187999992 0.0101784579 0.0104059557322 -0.0002274978322 -0.0188495554 -0.0190251729022 0.00017561750219999978
0 120 72 72.9298294583 -0.9298294583000057 -72 -72.6708074534 0.6708074534000019 1.4398483038 1.45844016471 -0.01859186090999998 0.0180946197 0.0184990428575 -0.00040442315749999666 -0.0251327399 -0.0253668972029 0.00023415730290000242
0 150 91 91.1622868229 -0.16228682290000052 -90 -90.8385093168 0.8385093167999997 1.8197005987 1.82294022546 -0.003239626760000114 0.0285861380 0.028903882609 -0.000317744608999998 -0.0314159244 -0.0317086215036 0.0002926971035999981
0 180 109 109.394744188 -0.3947441880000042 -109 -109.00621118 0.006211179999993988 2.1794741154 2.18736697242 -0.007892857019999866 0.0414675139 0.0416200565318 -0.00015254263179999977 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
0 210 127 127.627201552 -0.6272015520000025 -127 -127.173913043 0.17391304299999888 2.5391681194 2.55170574932 -0.012537629919999738 0.0562916063 0.0566470532154 -0.0003554469154000012 -0.0443313606 -0.0443920701051 6.070950509999562e-05
0 240 145 145.859658917 -0.8596589169999902 -145 -145.341614907 0.3416149070000074 2.8987617493 2.91594190342 -0.017180154119999624 0.0733754262 0.0739842683139 -0.0006088421138999989 -0.0506145470 -0.0507337944058 0.00011924740580000065
0 270 164 164.092116281 -0.09211628099998848 -163 -163.50931677 0.5093167699999981 3.2782304287 3.28006078612 -0.0018303574199998174 0.0932871103 0.093631004571 -0.0003438942709999976 -0.0568977334 -0.0570755187065 0.00017778530650000568
30 0 18 18.2324573646 -0.23245736459999833 18 18.1677018634 -0.16770186340000137 0.3599976301 0.364646703086 -0.00464907298599998 -0.0011309695 -0.00115624830419 2.5278804189999855e-05 0.0062831850 0.00634172430072 -5.853930071999993e-05
30 30 36 36.4649147292 -0.46491472919999666 0 -0.0 0.0 0.7199999690 0.729298294583 -0.009298325583000033 0.0000000000 0 0.0 0.0000000000 0 0.0
30 60 54 54.6973720938 -0.6973720937999985 -18 -18.1677018634 0.16770186340000137 1.0799927711 1.09394010926 -0.013947338160000156 0.0033929085 0.00346874491256 -7.583641255999975e-05 -0.0062831850 -0.00634172430072 5.853930071999993e-05
30 90 72 72.9298294583 -0.9298294583000057 -36 -36.3354037267 0.33540372670000096 1.4399620295 1.45855748211 -0.018595452610000063 0.0090476666 0.00924989343105 -0.00020222683104999944 -0.0125663700 -0.0126834486014 0.00011707860139999887
30 120 91 91.1622868229 -0.16228682290000052 -54 -54.5031055901 0.5031055900999988 1.8198921680 1.82313574896 -0.003243580959999992 0.0171525870 0.0173432595537 -0.00019067255369999841 -0.0188495554 -0.0190251729022 0.00017561750219999978
30 150 109 109.394744188 -0.3947441880000042 -72 -72.6708074534 0.6708074534000019 2.1797704697 2.18766024706 -0.007889777359999961 0.0273932461 0.0277485642862 -0.00035531818620000016 -0.0251327399 -0.0253668972029 0.00023415730290000242
30 180 127 127.627201552 -0.6272015520000025 -90 -90.8385093168 0.8385093167999997 2.5395822525 2.55211631565 -0.012534063150000385 0.0398949422 0.0404654356526 -0.0005704934526000044 -0.0314159244 -0.0317086215036 0.0002926971035999981
30 210 145 145.859658917 -0.8596589169999902 -109 -109.00621118 0.006211179999993988 2.8993000984 2.91648929657 -0.017189198170000086 0.0551632009 0.0554934087091 -0.0003302078091000013 -0.0380481780 -0.0380503458043 2.1678042999989655e-06
30 240 164 164.092116281 -0.09211628099998848 -127 -127.173913043 0.17391304299999888 3.2789256573 3.28076453484 -0.0018388775400000057 0.0726915225 0.0728319255626 -0.0001404030626000058 -0.0443313606 -0.0443920701051 6.070950509999562e-05
30 270 182 182.324573646 -0.3245736460000046 -145 -145.341614907 0.3416149070000074 3.6384458542 3.64492737928 -0.006481525079999884 0.0920988098 0.0924803353924 -0.0003815255923999977 -0.0506145470 -0.0507337944058 0.00011924740580000065
